user_id,Какие изменения произошли с вами после обучения в Нетологии?
6826627,
6772869,Изменений не произошло
5823315,Другое (что именно)
6744496,
6802225,
6904851,Другое (что именно)
6336928,
6336715,Изменений не произошло
6381589,
6584298,
6706859,Изменений не произошло
6779464,
5736520,
6550696,
6903507,Изменений не произошло
6700362,
6706814,
6709188,
6901400,Изменений не произошло
6812220,Нашёл новую работу по новой специальности
6858895,Нашёл новую работу по новой специальности
6829857,Нашёл новую работу по новой специальности
6715284,Нашёл новую работу по новой специальности
6988977,Нашёл новую работу по новой специальности
6959530,Нашёл новую работу по новой специальности
6746058,
6769076,
6773590,
6899659,
5237154,
5383934,
6263257,
6273415,
6833597,
6838620,
6882876,
6883219,
6883224,
6910864,
6910870,
6942937,
6357307,Нашёл новую работу по новой специальности
6273414,
6276593,
6651619,
6770646,
6845087,
6847121,
6859484,
6859590,
6860937,
6899275,
6485207,
6525712,
6776451,
6875248,
6890850,
6689088,
6856897,
6866599,
6962741,
7002813,
7022031,
5742751,
6664525,
5340703,
6704601,
6057003,
6365385,
6375507,
6406658,
6544616,
6552640,
6560081,
6597926,
6379400,
5255508,
5745850,
6079690,
6749390,
6752241,
6787940,
6799031,
4629054,
6602385,
6805672,
6815013,
6856784,
6882233,
6882915,
6889927,
6900419,
6902069,
6404883,
6602353,
6330747,
6701330,
6801820,
6802156,
6957473,
6959008,
6962710,
6967913,
6971993,
6941408,
5695747,
6783914,
6858550,
6919916,
6919922,
6840559,
6842458,
6852738,
6852193,
6857121,
6873752,
6855377,
6815798,
6817182,
6825654,
6837678,
6625577,
6870747,
6878226,
6377157,
6378442,
6802182,
6820193,
6823430,
6830809,
6833693,
6834454,
6841441,
6888664,
6889346,
6957454,
5587480,
6065768,
6854965,
6864605,
6277855,
6702204,
6865718,
6888133,
6890912,
6107894,
6631521,
6876135,
6889991,
6910682,
6915486,
6919432,
5697742,
6345732,
6350815,
6837458,
6916888,
6417913,
6557027,
6570848,
6653258,
6768318,
6772426,
6797884,
6854643,
6861728,
340440,
4687353,
6371570,
6820768,Нашёл новую работу по новой специальности
6903601,Нашёл новую работу по новой специальности
6464752,Нашёл новую работу по новой специальности
6797957,Нашёл новую работу по новой специальности
5963162,Нашёл новую работу по новой специальности
6919830,Нашёл новую работу по новой специальности
6978181,Нашёл новую работу по новой специальности
6881275,Нашёл новую работу по новой специальности
6522505,Нашёл новую работу по новой специальности
6760794,Нашёл новую работу по новой специальности
6835637,Нашёл новую работу по новой специальности
6832527,Стал фрилансером / нашёл новые проекты
5933130,Стал фрилансером / нашёл новые проекты
6627334,Нашёл новую работу по новой специальности
5900662,Нашёл новую работу по новой специальности
7102257,Нашёл новую работу по новой специальности
6658508,Нашёл новую работу по новой специальности
7004626,Нашёл новую работу по новой специальности
6490094,Нашёл новую работу по новой специальности
6470858,Нашёл новую работу по новой специальности
6048323,Нашёл новую работу по новой специальности
7168716,Нашёл новую работу по новой специальности
7115946,Нашёл новую работу по новой специальности
5362988,Нашёл новую работу по новой специальности
6252364,Нашёл новую работу по новой специальности
7020258,Нашёл новую работу по новой специальности
6699091,Нашёл новую работу по новой специальности
7348196,Нашёл новую работу по новой специальности
6873239,Нашёл новую работу по новой специальности
7120011,Нашёл новую работу по новой специальности
6561480,Нашёл новую работу по новой специальности
6181842,Нашёл новую работу по новой специальности
5819918,Нашёл новую работу по новой специальности
6967339,Нашёл новую работу по новой специальности
6321433,Нашёл новую работу по новой специальности
6360529,Нашёл новую работу по новой специальности
5604948,Нашёл новую работу по новой специальности
6560981,Нашёл новую работу по новой специальности
7045924,Нашёл новую работу по новой специальности
6956975,Нашёл новую работу по новой специальности
6540518,Нашёл новую работу по новой специальности
6627977,Нашёл новую работу по новой специальности
7190209,Нашёл новую работу по новой специальности
6932794,Нашёл новую работу по новой специальности
6783467,Нашёл новую работу по новой специальности
7007046,Нашёл новую работу по новой специальности
7060759,Нашёл новую работу по новой специальности
6194022,Нашёл новую работу по новой специальности
7032427,Нашёл новую работу по новой специальности
7103402,Нашёл новую работу по новой специальности
6664039,Нашёл новую работу по новой специальности
6553537,Нашёл новую работу по новой специальности
6504284,Нашёл новую работу по новой специальности
6669634,Нашёл новую работу по новой специальности
6619517,Нашёл новую работу по новой специальности
7237637,Нашёл новую работу по новой специальности
6081959,Нашёл новую работу по новой специальности
6345005,Нашёл новую работу по новой специальности
6396693,Нашёл новую работу по новой специальности
6740032,Нашёл новую работу по новой специальности
6608223,Нашёл новую работу по новой специальности
6498225,Нашёл новую работу по новой специальности
6368545,Нашёл новую работу по новой специальности
6193859,Нашёл новую работу по новой специальности
6639603,Нашёл новую работу по новой специальности
299377,Нашёл новую работу по новой специальности
6734152,Нашёл новую работу по новой специальности
6610135,Нашёл новую работу по новой специальности
7181952,Нашёл новую работу по новой специальности
6886894,Нашёл новую работу по новой специальности
6085336,Нашёл новую работу по новой специальности
7160155,Нашёл новую работу по новой специальности
7365435,Нашёл новую работу по новой специальности
8368,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
19614,Изменений не произошло
